0,55.4721811,10.3242179,44.06,330
1,55.4720630,10.3243206,32.38,333
2,55.4720270,10.3243435,30.50,338
3,55.4720279,10.3243135,29.40,327
4,55.4720256,10.3243119,34.44,330
5,55.4722230,10.3244619,36.41,331
6,55.4721659,10.3245097,37.10,333
7,55.4721553,10.3244894,37.08,332
8,55.4721226,10.3243862,37.08,331
9,55.4721300,10.3244087,50.64,333
10,55.4721309,10.3244091,50.74,330
11,55.4721210,10.3243679,50.98,332
12,55.4721212,10.3243679,50.95,331
13,55.4722498,10.3242416,51.51,329
14,55.4722508,10.3242432,43.41,278
15,55.4722507,10.3242417,42.09,332
16,55.4722363,10.3242059,40.38,333
17,55.4722730,10.3243996,35.85,315
18,55.4722728,10.3244012,35.39,343
19,55.4722235,10.3241127,33.36,342
