0,55.4719816,10.3242802,43.14,325
1,55.4719801,10.3242800,43.59,325
2,55.4719661,10.3242933,43.33,326
3,55.4719655,10.3242924,39.64,327
4,55.4721636,10.3240606,37.24,326
5,55.4721092,10.3241251,44.45,326
6,55.4721100,10.3241258,56.67,325
7,55.4721322,10.3241867,56.69,326
8,55.4721318,10.3241866,56.64,327
9,55.4720968,10.3240997,45.38,336
10,55.4722443,10.3239717,45.49,332
11,55.4720452,10.3244636,28.17,339
12,55.4719968,10.3245087,26.72,348
13,55.4719317,10.3245614,25.81,339
14,55.4719311,10.3245573,25.51,331
15,55.4719319,10.3245568,30.13,329
16,55.4722661,10.3239289,43.12,329
