0,55.4717507,10.3246872,35.73,61
1,55.4717518,10.3246908,36.11,61
2,55.4717522,10.3246929,36.33,61
3,55.4718506,10.3245792,36.21,322
4,55.4718608,10.3245836,36.41,320
5,55.4719575,10.3244467,36.25,323
6,55.4719649,10.3244469,36.41,321
7,55.4719070,10.3242685,36.31,232
8,55.4719050,10.3242587,36.39,231
9,55.4719491,10.3241118,36.21,303
10,55.4719526,10.3241129,36.37,301
11,55.4719049,10.3239891,36.29,228
12,55.4719024,10.3239830,36.40,229
13,55.4718559,10.3241007,36.27,130
14,55.4718527,10.3241098,36.46,109
15,55.4718219,10.3242779,36.28,107
16,55.4718196,10.3242786,36.36,108
17,55.4717629,10.3242129,36.32,212
18,55.4717645,10.3242094,36.40,213
19,55.4717527,10.3243391,36.27,99
20,55.4717513,10.3243455,36.38,98
21,55.4716759,10.3243052,36.33,196
22,55.4716730,10.3242972,36.40,196
23,55.4717217,10.3244712,36.21,66
24,55.4718218,10.3243729,56.16,327
25,55.4718220,10.3243726,56.27,326
26,55.4718216,10.3243722,56.23,301
27,55.4717220,10.3244831,21.67,146
